Word,Length,Count,Weighted Percentage (%)
research,8,396,1.63
journal,7,372,1.53
information,11,333,1.37
article,7,326,1.34
authors,7,311,1.28
data,4,214,0.88
manuscript,10,206,0.85
author,6,197,0.81
review,6,178,0.73
submission,10,162,0.67
use,3,137,0.56
process,7,135,0.55
editor,6,130,0.53
publication,11,126,0.52
text,4,123,0.5
provide,7,121,0.5
peer,4,112,0.46
must,4,107,0.44
files,5,103,0.42
reference,9,102,0.42
elsevier,8,100,0.41
paper,5,99,0.41
work,4,99,0.41
guide,5,98,0.4
management,10,97,0.4
may,3,97,0.4
within,6,95,0.39
include,7,94,0.39
access,6,91,0.37
please,6,90,0.37
sciencedirect,13,88,0.36
open,4,87,0.36
government,10,86,0.35
support,7,86,0.35
published,9,85,0.35
https,5,84,0.34
including,9,82,0.34
funding,7,79,0.32
policy,6,79,0.32
com,3,77,0.32
www,3,77,0.32
guidelines,10,75,0.31
file,4,74,0.3
references,10,72,0.3
submit,6,70,0.29
systems,7,69,0.28
international,13,68,0.28
articles,8,65,0.27
list,4,62,0.25
name,4,62,0.25
using,5,62,0.25
figures,7,60,0.25
title,5,60,0.25
processing,10,59,0.24
publishing,10,59,0.24
read,4,58,0.24
editors,7,57,0.23
reviewers,9,57,0.23
policies,8,55,0.23
submitted,9,54,0.22
tables,6,53,0.22
writing,7,53,0.22
statement,9,51,0.21
link,4,50,0.21
abstract,8,48,0.2
authorship,10,48,0.2
corresponding,13,48,0.2
decision,8,48,0.2
provided,8,48,0.2
address,7,47,0.19
ensure,6,47,0.19
format,6,47,0.19
full,4,47,0.19
images,6,47,0.19
issn,4,47,0.19
gender,6,46,0.19
online,6,46,0.19
page,4,46,0.19
version,7,46,0.19
following,9,45,0.18
sex,3,45,0.18
also,4,44,0.18
artwork,7,44,0.18
new,3,44,0.18
papers,6,44,0.18
content,7,43,0.18
generative,10,42,0.17
reviewer,8,42,0.17
sources,7,42,0.17
video,5,42,0.17
available,9,41,0.17
make,4,41,0.17
relevant,8,41,0.17
email,5,40,0.16
field,5,40,0.16
submissions,11,40,0.16
final,5,39,0.16
scientific,10,39,0.16
used,4,39,0.16
design,6,37,0.15
language,8,37,0.15
methods,7,37,0.15
number,6,37,0.15
results,7,37,0.15
separate,8,37,0.15
chief,5,36,0.15
editorial,9,36,0.15
one,3,36,0.15
science,7,36,0.15
color,5,35,0.14
copyright,9,35,0.14
grant,5,35,0.14
required,8,35,0.14
share,5,35,0.14
manuscripts,11,34,0.14
quarterly,9,34,0.14
services,8,34,0.14
theory,6,34,0.14
tools,5,34,0.14
assisted,8,33,0.14
contributions,13,33,0.14
informs,7,33,0.14
resources,9,33,0.14
study,5,33,0.14
system,6,33,0.14
