Word,Length,Count,Weighted Percentage (%)
journal,7,136,1.38
research,8,98,0.99
review,6,93,0.94
2025,4,91,0.92
author,6,81,0.82
authors,7,81,0.82
information,11,81,0.82
library,7,74,0.75
publication,11,73,0.74
editorial,9,68,0.69
university,10,66,0.67
must,4,63,0.64
august,6,61,0.62
article,7,55,0.56
science,7,55,0.56
technology,10,52,0.53
issue,5,51,0.52
study,5,47,0.48
manuscript,10,44,0.45
submitted,9,42,0.43
policy,6,41,0.42
india,5,39,0.4
published,9,38,0.39
analysis,8,37,0.37
paper,5,36,0.36
peer,4,35,0.35
systematic,10,34,0.34
articles,8,33,0.33
board,5,33,0.33
written,7,33,0.33
data,4,32,0.32
studies,7,32,0.32
title,5,32,0.32
indonesia,9,31,0.31
using,5,30,0.3
innovation,10,29,0.29
submit,6,29,0.29
new,3,28,0.28
process,7,28,0.28
submission,10,28,0.28
literature,10,27,0.27
publishing,10,27,0.27
academic,8,26,0.26
department,10,25,0.25
bibliometric,12,24,0.24
2019,4,23,0.23
copyright,9,23,0.23
media,5,23,0.23
use,3,23,0.23
january,7,22,0.22
manuscripts,11,22,0.22
scientometric,13,22,0.22
social,6,22,0.22
team,4,22,0.22
contact,7,21,0.21
management,10,21,0.21
statement,9,21,0.21
2020,4,20,0.2
content,7,20,0.2
djlit,5,20,0.2
editor,6,20,0.2
evaluation,10,20,0.2
faculty,7,20,0.2
plagiarism,10,20,0.2
school,6,20,0.2
system,6,20,0.2
abstract,8,19,0.19
also,4,19,0.19
current,7,19,0.19
english,7,19,0.19
november,8,19,0.19
open,4,19,0.19
references,10,19,0.19
access,6,18,0.18
costs,5,18,0.18
issues,6,18,0.18
jscires,7,18,0.18
online,6,18,0.18
original,8,18,0.18
papers,6,18,0.18
performance,11,18,0.18
record,6,18,0.18
submissions,11,18,0.18
without,7,18,0.18
comprehensive,13,17,0.17
delhi,5,17,0.17
energy,6,17,0.17
ethical,7,17,0.17
figures,7,17,0.17
high,4,17,0.17
learning,8,17,0.17
long,4,17,0.17
national,8,17,0.17
processing,10,17,0.17
words,5,17,0.17
work,4,17,0.17
challenges,10,16,0.16
dilemmas,8,16,0.16
entrepreneurial,15,16,0.16
farmers,7,16,0.16
landscape,9,16,0.16
made,4,16,0.16
material,8,16,0.16
may,3,16,0.16
results,7,16,0.16
theory,6,16,0.16
vol,3,16,0.16
waits,5,16,0.16
communication,13,15,0.15
density,7,15,0.15
development,11,15,0.15
dots,4,15,0.15
frontier,8,15,0.15
functional,10,15,0.15
home,4,15,0.15
include,7,15,0.15
insights,8,15,0.15
main,4,15,0.15
quantum,7,15,0.15
scientific,10,15,0.15
solar,5,15,0.15
special,7,15,0.15
surabaya,8,15,0.15
tables,6,15,0.15
technical,9,15,0.15
2022,4,14,0.14
contribution,12,14,0.14
corresponding,13,14,0.14
elsewhere,9,14,0.14
license,7,14,0.14
scope,5,14,0.14
accepted,8,13,0.13
bahasa,6,13,0.13
case,4,13,0.13
citation,8,13,0.13
correspondence,14,13,0.13
editors,7,13,0.13
following,9,13,0.13
guidelines,10,13,0.13
institute,9,13,0.13
introduction,12,13,0.13
journals,8,13,0.13
login,5,13,0.13
methods,7,13,0.13
model,5,13,0.13
researchgate,12,13,0.13
reviewed,8,13,0.13
sciences,8,13,0.13
used,4,13,0.13
0000,4,12,0.12
airlangga,9,12,0.12
book,4,12,0.12
chief,5,12,0.12
creative,8,12,0.12
desidoc,7,12,0.12
issn,4,12,0.12
keywords,8,12,0.12
knowledge,9,12,0.12
records,7,12,0.12
register,8,12,0.12
required,8,12,0.12
text,4,12,0.12
time,4,12,0.12
unair,5,12,0.12
year,4,12,0.12
2021,4,11,0.11
education,9,11,0.11
focus,5,11,0.11
full,4,11,0.11
guest,5,11,0.11
language,8,11,0.11
method,6,11,0.11
part,4,11,0.11
related,7,11,0.11
techniques,10,11,0.11
two,3,11,0.11
address,7,10,0.1
based,5,10,0.1
blind,5,10,0.1
business,8,10,0.1
clearly,7,10,0.1
consideration,13,10,0.1
csir,4,10,0.1
dept,4,10,0.1
double,6,10,0.1
east,4,10,0.1
image,5,10,0.1
june,4,10,0.1
machine,7,10,0.1
name,4,10,0.1
privacy,7,10,0.1
provide,7,10,0.1
responsible,11,10,0.1
section,7,10,0.1
services,8,10,0.1
table,5,10,0.1
version,7,10,0.1
america,7,9,0.09
appropriate,11,9,0.09
attribution,11,9,0.09
available,9,9,0.09
